PAGARIYA SUPER SHOPEE|||||||||||||
Kot Bazar, DHARANGAON|||||||||||||
ITEM Amount wise Stock Statement From Date 29/01/2026 To 29/01/2026|||||||||||||
Item Name|Size|MRP|Op.Stock|Op.Amt.|Stock In|In Amt.|Stock Out|Out Amt.|Cl.Stock|Cl. Amt.|Profit/Loss|G.P.%|Closing Rate
ACT II MAGIC BUTTER|30 GM|0|10|84.85|||||10|84.85|||8.485
ACT II POPCORN|23 GM|0|3|20.73|||||3|20.73|||6.91
ADDICTION DEO SYDNEY|1|0|1|0.01|||||1|0.01|||0.01
ADDICTION DEO VEGAS|1|0|2||||||2||||0
ADICTION STORNG DEO|150ML|200|3|427.11|||||3|427.11|||142.37
ADICTION STRONG RIO|150ML|200|2|284.74|||||2|284.74|||142.37
ADIVASI|100 ML|0|||||||||||65535
ADIVASI|200 ML|0|||||||||||65535
AER BERRY RUSH|POUCH|0|5|225.76|||||5|225.76|||45.152
AER FLORAL|POUCH|0|2|90.3|||||2|90.3|||45.15
AER FRESH BLOSSOM|POUCH|0|1|45.15|||||1|45.15|||45.15
AER LAVENDER|POUCH|0|5|225.76|||||5|225.76|||45.152
AER MISTY BATHROOM FRESHNER|10GM|55|3|122.02|||||3|122.02|||40.6733333333333
AER PACKET|POUCH|0|-1|-40.27|||||-1|-40.27|||40.27
AER RELAX SPRAY|270 ML|0|1|93.64|||||1|93.64|||93.64
AER SEA BREEZE|POUCH|0|8|361.22|||||8|361.22|||45.1525
AER SPRAY COOL|300ML|140|2|154.69|||||2|154.69|||77.345
AER TANGY BATHROOM FRESHNER|POUCH|0|2|94.23|||||2|94.23|||47.115
AER VALLEY BATHROOM FRESHNER|10GM|55|5|201.33|||||5|201.33|||40.266
AGARBATI|POUCH|0|1||||||1||||0
AGARBATI|POUCH|0|2||||||2||||0
AGE CANDLE 1||0|43|344|||||43|344|||8
AGRA TAJ PETHA|200 GM|0|1|53.83|||||1|53.83|||53.83
AGRAWAL PATRA|250GM|0|2.3|149.5|||||2.3|149.5|||65
AIKMEV ANNARSA ATTA|500 GM|0|4|110.9|||||4|110.9|||27.725
AIM MATCH BOX SPECIAL|10|0|23.5|167.79|||||23.5|167.79|||7.14
AIR BALANCE|1|0|1|6.79|||||1|6.79|||6.79
AIR FRESHNER JASMIN|60 GM|0|11|176|||||11|176|||16
AIR FRESHNER LAVENDER|60 GM|0|1||||||1||||0
AIR FRESHNER SANDAL|60 GM|0|1||||||1||||0
AIR POUCH|1|0|3|135|||||3|135|||45
AJINO MOTO|1 KG|0|1.75|192.8|||||1.75|192.8|||110.171428571429
AKKHA AKROAD|500 GM|0|1||||||1||||0
AKKHI MIRCHI|1 KG|0|0.7|112|||||0.7|112|||160
AKROD|1 KG|0|-0.03|-18.29|||||-0.03|-18.29|||609.666666666667
AKROD  AKKHA|250 GM|0|3|485.72|||||3|485.72|||161.906666666667
AKROD MAGAJ|100 GM|0|10|2451.43|||||10||-2451.43||0
AKROD MAGAJ|200 GM|0|-1.45|-325.9|||||-1.45|-325.9|||224.758620689655
AKROD MAGAJ|250 GM|0|||||||||||65535
AKROD MAGAJ|50 GM|0|2.6|194.26|||||2.6||-194.26||0
AKROD MAGAJ 250GM|250 GM|0|-2|-476.19|||||-2|-476.19|||238.095
AL HAYAT|250 GM|0|1|25.75|||||1|25.75|||25.75
ALIFE HAND WASH BOTTLE|200 ML|0|8|535.59|||||8|535.59|||66.94875
ALIFE HAND WASH POUCH|200 ML|0|3||||||3||||0
ALIFE LIME SOAP|5*100GM|0|5|351.69|||||5|351.69|||70.338
ALIFE ROMANTIC ROSE SOAP|5*100GM|0|||||||||||65535
ALIFE SANDALWOOD SOAP|5*100GM|0|-0.2|-21.09|||||-0.2|-21.09|||105.45
ALIFE SOAP|100 GM|0|3|211.01|||||3|211.01|||70.3366666666667
ALING 1KG|1 KG|0|1.4|186.67|||||1.4|186.67|||133.335714285714
ALL CHATNI||0|273|6722.41|||||273|6722.41|||24.6242124542125
ALL IN ONE|350GM|0|1|68.37|||||1|68.37|||68.37
ALL OUT COMBI PACK|COMBI PACK|49|1|67.14|||||1|67.14|||67.14
ALMOND OIL|35 ML|0|1||||||1||||0
ALMOND THINZ|70 GM|0|17|128.69|||||17|128.69|||7.57
ALOE VERA HAIR CLEANSAR|POUCH|0|35|25.2|||||35|25.2|||0.72
ALOE VERA HAND WASH|200 ML|0|2|67.8|||||2|67.8|||33.9
ALOE VERA POWDER|50 GM|0|6|85.74|||||6|85.74|||14.29
ALOEVERA GEL|15 ML|0|14||||||14||||0
ALOEVERA JUICE|1 LTR|0|5|689.72|||||5|689.72|||137.944
ALOEVERA KANTI SOAP|3*150 GM|0|5|459.04|||||5|459.04|||91.808
ALOO BHUJIA|500 GM|0|7|455|||||7|455|||65
ALOO BIKKI|28 GM|0|1|7.46|||||1|7.46|||7.46
ALOVERA GEL|1|0|11||||||11||||0
ALPABET SMALL WITH GAME|BOX|0|1|23.73|||||1|23.73|||23.73
ALPENLIBEE STICK|1 PCS|0|10|82.14|||||10|82.14|||8.214
AMAR LEAF TEA|1 KG|0|3|642.87|||||3|642.87|||214.29
AMBA SHRIKAND|200 G.M|0|1|44.22|||||1|44.22|||44.22
AMBARI CHATPAT|30 GM|0|8|54.86|||||8|54.86|||6.8575
AMBARI CHATPAT|50g|12|18|223.25|||||18|223.25|||12.4027777777778
AMBARI CHATPAT 100gm|100 GM|0|8|191.17|||||8|191.17|||23.89625
AMBARI CHATPAT MASALA|200 GM|0|-1|-47.33|||||-1|-47.33|||47.33
AMBARI CHATPAT MASALA|500 GM|0|1|115.59|||||1|115.59|||115.59
AMBARI CHILI POWDER|500 GM|0|-2|-308.23|||||-2|-308.23|||154.115
AMBARI CHILLY POWDER|200g|71|-10|-622.72|||||-10|-622.72|||62.272
AMBARI RED CHILI POWDER|1KG|372|2|400|||||2|400|||200
AMBE HALAD POWDER|30 GM|0|10|142.9|||||10|142.9|||14.29
AMBHAR NIL|300ML|0|-3|-45|||||-3|-45|||15
AMBHARI BYADGI POWDER|200 GM|0|4|204.7|||||4|204.7|||51.175
AMBIKA DEG KHADA MASALA|100 GM|0|1|99.77|||||1|99.77|||99.77
AMBIKA DEG KHADA MASALA|250 GM|0|3|750|||||3|750|||250
AMBIKA GARAM MASALA|100 GM|0|6|257.14|||||6|257.14|||42.8566666666667
AMBIKA GARAM MASALA|200 GM|0|2|163.26|||||2|163.26|||81.63
AMBIKA KHANDESHI KHADA MASALA|250 GM|0|2|385.49|||||2|385.49|||192.745
AMBIKA MIX MASALA|POUCH|0|1|7.24|||||1|7.24|||7.24
AMERICAN NUT FAMILY PACK|1|0|||||||||||65535
AMERICAN NUTS|110 ML|0|1|23.73|||||1|23.73|||23.73
AMLA CANDY|1 KG|0|-0.96|-192|||||-0.96|-192|||200
AMLA CANDY|100 GM|0|7|305.24|||||7||-305.24||0
AMLA CANDY|200 GM|0|4.5|3651.53|||||4.5||-3651.53||0
AMLA CANDY|250 GM|0|1.5||||||1.5||||0
AMLA CANDY|500 GM|0|22.387|2686.44|||||22.387|2686.44|||120
AMLA CANDY MASALA|100 GM|0|1||||||1||||0
AMLA CHURAN|100 GM|0|3|108.15|||||3|108.15|||36.05
AMLA HAIR OIL|30 ML|0|6||||||6||||0
AMLA JUICE|1 LIT|0|4|375.01|||||4|375.01|||93.7525
AMRUIT RAS KOKAM SYRUP|1 LTR|0|5|405.8|||||5|405.8|||81.16
AMRUT SUGAR|1 KG|0|15|621.71|||||15|621.71|||41.4473333333333
AMRUTANJAN BACK PAIN ROLL ON|30ML|0|3|164.46|||||3|164.46|||54.82
AMRUTANJAN PAIN BALM|8 ML|0|3|89.28|||||3|89.28|||29.76
AMSUL LOOSE 1KG|1KG|0|9.245|2113.13|||0.07|20|9.175|2097.13|4|20|228.570027247956
AMUL AMRAKHAND|500 GM|0|3|293.4|||||3|293.4|||97.8
AMUL BUTTER|100 GM|0|1|46.41|||||1|46.41|||46.41
AMUL CHESE|1|0|25|306.9|||||25|306.9|||12.276
AMUL CHESE|200 GM|0|1.655|147.77|||||1.655|147.77|||89.2870090634441
AMUL CHESE SLICE|1|0|36|437.47|||||36|437.47|||12.1519444444444
AMUL FRESH|200 GM|0|6|368.76|||||6|368.76|||61.46
AMUL KAJU KATRI|200 GM|0|5|796.25|||||5|796.25|||159.25
AMUL KAJU KATRI|500 GM|0|3|1105.65|||||3|1105.65|||368.55
AMUL SHRIKAND|200 GM|0|1|42.5|||||1|42.5|||42.5
ANAND GINGER GARLIC|200 GM|0|14|349.05|||||14|349.05|||24.9321428571429
ANANYA|150 GM|0|3||||||3||||0
ANARASA INSTANT MIX|500 GM|0|2|120|||||2|120|||60
ANARDANA GOLI|100 GM|0|1|33.55|||||1|33.55|||33.55
ANCHOR ADVANCE|1|0|1|20.34|||||1|20.34|||20.34
ANCHOR ADVANCE|150 GM|0|4|230.4|||||4|230.4|||57.6
ANCHOR ADVANCE|80 GM|0|2|69.32|||||2|69.32|||34.66
ANCHOR PASTE|200 GM|0|7|350.6|||||7|350.6|||50.0857142857143
ANCHOR PASTE|200 GM|0|10|533.9|||||10|533.9|||53.39
ANCHOR PASTE|200GM+200GM|0|2|215.72|||||2|215.72|||107.86
ANCHOR WHITE PASTE|400G|0|1|85.06|||||1|85.06|||85.06
ANGEL GIRL||0|1|220|||||1|220|||220
ANJEER|1 KG|0|1.869|1835.62|||||1.869|1835.62|||982.140181915463
ANJEER|250 GM|0|28|22050|||||28|22050|||787.5
ANJEER|250 GM|0|3||||||3||||0
ANJEER 250GM|250GM|0|1|267.86|||||1|267.86|||267.86
ANJEER KESAR|750 ML|0|1|171.42|||||1|171.42|||171.42
ANMOL 9 ESSENCES OF CLEANER|450 ML|0|1||||||1||||0
ANMOL 9 ESSENCES OF CLEANER|5 LIT|0|1|127.12|||||1|127.12|||127.12
ANMOL 9 SAFAI|1|0|14|77.12|||||14|77.12|||5.50857142857143
ANMOL BOLTTLE 9PP|1|0|3|71.16|||||3|71.16|||23.72
ANMOL BOTTLE|1002|0|7|216.71|||||7|216.71|||30.9585714285714
ANMOL BOTTLE OPEK|1|0|5|114.42|||||5|114.42|||22.884
ANMOL CLEANER|1LIT|0|6|183.06|||||6|183.06|||30.51
ANMOL CLEANER|450ML|0|1|31.36|||||1|31.36|||31.36
ANMOL JASMINE OIL|100 ML|0|4|94.21|||||4|94.21|||23.5525
ANMOL JASMINE OIL|100ML|0|3|75.34|||||3|75.34|||25.1133333333333
ANMOL MARRIE PLUS|1|0|4|26.48|||||4|26.48|||6.62
ANMOL SCRUBBER|1PC|0|6|33.05|||||6|33.05|||5.50833333333333
